,match_id,season,date,seed_type,bastion_type,player_a_uuid,player_b_uuid,player_a_nickname,player_b_nickname,time,elo_a_before,elo_b_before,has_player_forfeited,winner_uuid
86,2811043,9,1755808792,BURIED_TREASURE,HOUSING,3b01d4b4fef14f178b75f05c04dd34ef,388533d5a2ad4b349a31db4738670a4b,BeefSalad,v_strid,471.805,1688,1629,False,3b01d4b4fef14f178b75f05c04dd34ef
87,2811079,9,1755809046,BURIED_TREASURE,HOUSING,553414a2c89b4d6b8c0ba5bd89284508,253b53d832ab4bafb5ee0308d5164ccf,ulsah1n,Aquacorde,596.988,1731,1589,False,253b53d832ab4bafb5ee0308d5164ccf
88,2811145,9,1755809558,DESERT_TEMPLE,BRIDGE,3b01d4b4fef14f178b75f05c04dd34ef,0d0f007a376a462299bf23f2f713b0e5,BeefSalad,MrBudgiee,618.908,1743,1670,False,0d0f007a376a462299bf23f2f713b0e5
89,2811195,9,1755809946,RUINED_PORTAL,STABLES,253b53d832ab4bafb5ee0308d5164ccf,5ee577fdc1af45d3a6fb3e086cc293fb,Aquacorde,Ranik_,571.81,1614,1678,False,253b53d832ab4bafb5ee0308d5164ccf
90,2811232,9,1755810215,VILLAGE,HOUSING,388533d5a2ad4b349a31db4738670a4b,3b01d4b4fef14f178b75f05c04dd34ef,v_strid,BeefSalad,490.524,1549,1726,False,388533d5a2ad4b349a31db4738670a4b
91,2811326,9,1755810903,SHIPWRECK,TREASURE,dd34e44dfe5d4e05923d876b9c34ca5f,253b53d832ab4bafb5ee0308d5164ccf,autoqualler,Aquacorde,682.549,1581,1639,False,253b53d832ab4bafb5ee0308d5164ccf
92,2811330,9,1755810927,RUINED_PORTAL,TREASURE,3b01d4b4fef14f178b75f05c04dd34ef,0d0f007a376a462299bf23f2f713b0e5,BeefSalad,MrBudgiee,649.658,1654,1748,False,3b01d4b4fef14f178b75f05c04dd34ef
93,2811398,9,1755811443,VILLAGE,HOUSING,3b01d4b4fef14f178b75f05c04dd34ef,253b53d832ab4bafb5ee0308d5164ccf,BeefSalad,Aquacorde,472.6,1679,1692,False,3b01d4b4fef14f178b75f05c04dd34ef
94,2811590,9,1755813024,BURIED_TREASURE,TREASURE,253b53d832ab4bafb5ee0308d5164ccf,7fad8dae2ab04971bc07a6440f84d609,Aquacorde,suravil,729.276,1632,1551,True,
95,2811613,9,1755813179,VILLAGE,TREASURE,3b01d4b4fef14f178b75f05c04dd34ef,388533d5a2ad4b349a31db4738670a4b,BeefSalad,v_strid,554.121,1718,1610,False,3b01d4b4fef14f178b75f05c04dd34ef
96,2811672,9,1755813677,RUINED_PORTAL,TREASURE,3b01d4b4fef14f178b75f05c04dd34ef,70eb9286e3e24153a8b37c8f884f1292,BeefSalad,7rowl,446.736,1730,1716,True,3b01d4b4fef14f178b75f05c04dd34ef
97,2811739,9,1755814306,DESERT_TEMPLE,BRIDGE,3b01d4b4fef14f178b75f05c04dd34ef,253b53d832ab4bafb5ee0308d5164ccf,BeefSalad,Aquacorde,516.642,1751,1644,False,3b01d4b4fef14f178b75f05c04dd34ef
98,2811776,9,1755814627,RUINED_PORTAL,HOUSING,70eb9286e3e24153a8b37c8f884f1292,3b01d4b4fef14f178b75f05c04dd34ef,7rowl,BeefSalad,270.87,1715,1764,True,3b01d4b4fef14f178b75f05c04dd34ef
99,2811843,9,1755815326,SHIPWRECK,BRIDGE,26c82339872246c489bf285760ca1af3,3b01d4b4fef14f178b75f05c04dd34ef,novadud,BeefSalad,585.845,1488,1827,False,26c82339872246c489bf285760ca1af3
100,2811895,9,1755815797,RUINED_PORTAL,HOUSING,3b01d4b4fef14f178b75f05c04dd34ef,bbd1dbd2f3ed4c43b62fc7572229ee61,BeefSalad,romuxii,418.651,1794,1603,False,bbd1dbd2f3ed4c43b62fc7572229ee61
101,2811900,9,1755815865,SHIPWRECK,TREASURE,70eb9286e3e24153a8b37c8f884f1292,3b01d4b4fef14f178b75f05c04dd34ef,7rowl,BeefSalad,19.704,1672,1727,True,3b01d4b4fef14f178b75f05c04dd34ef
102,2811918,9,1755816095,BURIED_TREASURE,TREASURE,253b53d832ab4bafb5ee0308d5164ccf,817a3f2e92da42ab89c64a787ce16d28,Aquacorde,Voxio,710.163,1576,1592,False,253b53d832ab4bafb5ee0308d5164ccf
103,2811987,9,1755816807,SHIPWRECK,TREASURE,253b53d832ab4bafb5ee0308d5164ccf,70eb9286e3e24153a8b37c8f884f1292,Aquacorde,7rowl,581.063,1633,1619,False,70eb9286e3e24153a8b37c8f884f1292
104,2812033,9,1755817198,DESERT_TEMPLE,BRIDGE,3910d98bea254b488a10d6e91e469f7e,3b01d4b4fef14f178b75f05c04dd34ef,dwoh,BeefSalad,575.862,1514,1766,False,3910d98bea254b488a10d6e91e469f7e
105,2812052,9,1755817448,DESERT_TEMPLE,BRIDGE,78ea25c3db9a4830ba7e78074bd6fd10,253b53d832ab4bafb5ee0308d5164ccf,ogurikappa,Aquacorde,590.077,1649,1574,False,253b53d832ab4bafb5ee0308d5164ccf
